trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.2924017738212866, 'e': 0.9523263592356045}",25,0,-84.41975284059278,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.2900049301676267, 'e': 0.9508350448739773}",20,0,-153.35551534298702,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
42,False,"{'a': 0.28768479133239405, 'e': 0.9493383516977684}",20,0,-126.323583532334,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.28543716208189446, 'e': 0.9478364956657278}",25,2,-70.88825417635486,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 1}",1
44,False,"{'a': 0.28325816747135235, 'e': 0.9463296831564707}",20,0,-101.46916331996051,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
45,False,"{'a': 0.2811442217672498, 'e': 0.9448181116024265}",20,0,-145.02606677213248,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
46,False,"{'a': 0.27909200099982406, 'e': 0.9433019700682453}",30,0,-211.08910408044892,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
47,False,"{'a': 0.2770984186529621, 'e': 0.9417814397796428}",25,0,-158.8234860755356,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.27516060407455223, 'e': 0.9402566946079044}",20,0,-119.92768867581103,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.27327588325319846, 'e': 0.9387279015146257}",20,0,-146.96588118859225,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
50,False,"{'a': 0.2714417616594907, 'e': 0.9371952209607077}",20,7,-13.065952019328622,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.2696559088937193, 'e': 0.9356588072831463}",20,4,-81.88092104380968,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
52,False,"{'a': 0.2679161449185622, 'e': 0.9341188090427429}",20,0,-198.8405743905424,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
53,False,"{'a': 0.26622042768611637, 'e': 0.9325753693455059}",25,0,-66.41021657669106,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.26456684199469993, 'e': 0.9310286261401991}",20,0,-75.00313419747495,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
55,False,"{'a': 0.26295358943292957, 'e': 0.929478712494224}",20,0,-141.0879128120676,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.26137897928735515, 'e': 0.9279257568497858}",25,0,-85.2148231414834,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.25984142030594476, 'e': 0.9263698832620854}",30,0,-75.08339972719016,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.2583394132234127, 'e': 0.9248112116210975}",20,0,-89.65851152735075,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.2568715439661365, 'e': 0.923249857858335}",30,5,-75.9109664660126,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",1
60,False,"{'a': 0.2554364774645177, 'e': 0.9216859341398583}",20,0,-102.46986200694477,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
61,False,"{'a': 0.2540329520093663, 'e': 0.9201195490466635}",30,0,-152.6392588081408,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
62,False,"{'a': 0.25265977409642826, 'e': 0.9185508077434725}",20,0,-73.32439360430288,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
63,False,"{'a': 0.25131581370971795, 'e': 0.9169798121368504}",20,0,-126.11214681563855,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
64,False,"{'a': 0.25000000000000006, 'e': 0.9154066610234867}",25,0,-41.84114920369197,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.24871131731971624, 'e': 0.9138314502294006}",20,0,-81.15283673179628,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.24744880157997637, 'e': 0.9122542727407611}",20,0,-90.04715503858837,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.2462115368990136, 'e': 0.9106752188269478}",20,0,-88.70516487007589,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.2449986525148223, 'e': 0.9090943761564261}",25,0,-150.42328681681133,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
69,False,"{'a': 0.24380931993760993, 'e': 0.9075118299059582}",35,3,-109.11564645997292,"{0: 20, 1: 3, 2: 8, 3: 0, 4: 1}",1
70,False,"{'a': 0.2426427503202587, 'e': 0.9059276628636267}",25,0,-165.6022843230526,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
71,False,"{'a': 0.2414981920272584, 'e': 0.9043419555261074}",30,0,-236.5017059971701,"{0: 15, 1: 5, 2: 5, 3: 1, 4: 4}",0
72,False,"{'a': 0.24037492838456806, 'e': 0.902754786190591}",20,0,-36.56921304450136,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
